Last updated:  Fri Nov 20 11:15:22 2015
------------------------------------

Bevs Place, 42.426786, -83.14969
Leah's hand, 42.427636, -83.19547
FAB 8, 42.355437, -83.21722
Sunshine, 42.239933, -83.150823
Pringle Gardens, 42.378287, -82.95243
Shreve Garden, 42.394586, -83.24422
Sellford Greens, 42.368137, -82.99314
Evers Place, 42.375237, -83.07837
Compassion, 42.426786, -83.14969
Frances, 42.378287, -82.95243
GBU, 42.432686, -83.04422
St.Marys, 42.375787, -83.10849
Ellison, 42.375787, -83.10849
GBU, 42.378287, -82.95243
Corridor Crops, 42.427636, -83.19547
The Garden, 42.239933, -83.150823
My Garden, 42.427636, -83.19547
Elmhurst, 42.378287, -82.95243
Kevins Garden Of Love, 42.239933, -83.150823
Rutherford Garden, 42.239933, -83.150823
My Own, 42.239933, -83.150823
My Garden, 42.395904, -82.99632
GG, 42.328338, -83.07805
12th Street Missionary Youth Garde, 42.20649, -83.35297
Wayne&Pie, 42.20649, -83.35297
Boston Gardens, 42.348937, -83.08994
Fred, 42.375787, -83.10849
VW Garden, 42.239933, -83.150823
VW Garden, 42.388786, -83.1918
Nikki, 42.239933, -83.150823
Purdy Girls, 42.426786, -83.14969
E&S, 42.396736, -83.14152
My Brothers, 42.331821, -83.04888
BS, 42.239933, -83.150823
Tre, 42.410487, -82.94348
Little Man, 42.239933, -83.150823
Mickey D, 42.239933, -83.150823
Little Lambs, 42.239933, -83.150823
Tonys, 42.20649, -83.35297
Bam, 42.239933, -83.150823
Elaine Elaine, 42.375237, -83.07837
RayRay, 42.368137, -82.99314
Dave, 42.239933, -83.150823
Jayhawks, 42.239933, -83.150823
Betty Boop, 42.375787, -83.10849
Tonl Tony, 42.239933, -83.150823
Boom, 42.352837, -83.02449
Fox, 42.239933, -83.150823
Hip Hop, 42.239933, -83.150823
SONYA, 42.239933, -83.150823
Amazing, 42.239933, -83.150823
Pebbies, 42.239933, -83.150823
JoJo, 42.239933, -83.150823
Judge Mathis Community Center, 42.427636, -83.19547
Cabbage Patch Youth Garden, 42.355437, -83.21722
Well Place, 42.396736, -83.14152
Honey Bees, 42.410037, -83.05826
Bina's place, 42.426786, -83.14969
Seen, 42.396736, -83.14152
Dream's big garden, 42.388786, -83.1918
Beautiful, 42.331821, -83.04888
Milss little acre, 42.426786, -83.14969
HERBS, 42.239933, -83.150823
Mills Garden, 42.239933, -83.150823
culeb, 42.239933, -83.150823
TB Place, 42.348937, -83.08994
James Place, 42.365337, -83.14254
Brush St. Community Garden and Hostel, 42.375237, -83.07837
Cooper Growth, 42.348937, -83.08994
w.m.b, 42.378287, -82.95243
myplace, 42.375787, -83.10849
VIP, 42.343787, -83.05879
good food, 42.348937, -83.08994
Compassion, 42.395904, -82.99632
no name, 42.375787, -83.10849
GBU garden, 42.375787, -83.10849
n/a, 42.352837, -83.02449
no name, 42.239933, -83.150823
Corridor Crops, 42.343787, -83.05879
The Garden, 42.343787, -83.05879
n/a, 42.269288, -83.13676
n/a, 42.375787, -83.10849
mels garden, 42.425236, -83.24902
happy garden, 42.394586, -83.24422
my piece of heav en, 42.396736, -83.14152
no name, 42.239933, -83.150823
blessed garden, 42.307088, -83.11467
none, 42.352837, -83.02449
n/a, 42.427636, -83.19547
gravely garden, 42.239933, -83.150823
none, 42.410037, -83.05826
hememe, 42.239933, -83.150823
Corky, 42.396736, -83.14152
Judge Judy, 42.396736, -83.14152
judges place, 42.396736, -83.14152
Ausbrooks haven, 42.388786, -83.1918
Dirty fun, 42.239933, -83.150823
urban garden, 42.378287, -82.95243
college garden, 42.426786, -83.14969
Shadymcgrady, 42.343787, -83.05879
Reevesen Garden, 42.426786, -83.14969
RO, 42.388786, -83.1918
b's place, 42.396736, -83.14152
no name, 42.396736, -83.14152
no name, 42.410037, -83.05826
Gladstone and Linwood, 42.375787, -83.10849
THE MIRACLOUS COME BACK!, 42.396736, -83.14152
glenn family garden, 42.396736, -83.14152
Theresa Maxi garden, 42.355437, -83.21722
lamario's place, 42.355437, -83.21722
Corr's place, 42.396736, -83.14152
The Norman Clark Garden, 42.375787, -83.10849
Plantscapers Choice, 42.421936, -83.09981
Brush Street Community Garden and North End Cooperative, 42.280887, -83.79147
Sharee's Patch on the Corner., 42.410037, -83.05826
ortega urban farms, 42.365337, -83.14254
The Peoples Garden, 42.348937, -83.08994
Hoop Tunnel, 42.375787, -83.10849
Garden of Hope, 42.365337, -83.14254
Tom's Garden, 42.432686, -83.04422
Jimmy's, 42.410487, -82.94348
crystals', 42.388786, -83.1918
my garden, 42.338137, -83.12785
grita, 42.368137, -82.99314
shari's urban patch, 42.410037, -83.05826
WILLIAMS GARDEN, 42.365337, -83.14254
kysers, 42.425236, -83.24902
Angie's Garden, 42.338137, -83.12785
kysers, 42.425236, -83.24902
Tiffany 's, 42.410487, -82.94348
Tiffany 's, 42.410487, -82.94348
Shari's Urban Patch, 42.410037, -83.05826
Shari's Urban Patch, 42.410037, -83.05826
Mable, 42.421936, -83.09981
Brenda's Greens and Fruits, 42.355437, -83.21722
Green Goodies, 42.375237, -83.07837
kala's, 42.388786, -83.1918
Shorts Garden, 42.426786, -83.14969
Belle's, 42.331427, -83.0457538
mattison, 42.355437, -83.21722
geno, 42.355437, -83.21722
Happy Growing, 42.394586, -83.24422
GAP Fellowship Community Garden, 42.433703, -82.98068
Healthy dining, 42.410487, -82.94348
Kent family Garden, 42.355437, -83.21722
Johnica's Garden, 42.425836, -82.90003
Babette, 42.426786, -83.14969
Small Faith Garden, 42.388786, -83.1918
The Good Food Place, 42.355437, -83.21722
Small Faith Garden, 42.388786, -83.1918
J & M's  garden, 42.427636, -83.19547
shirley's best, 42.410037, -83.05826
Bill's Garden, 42.425236, -83.24902
Buentello Jr Garden, 42.328338, -83.07805
My Garden, 42.355437, -83.21722
Urban Patch, 42.355437, -83.21722
Dixon's Family Garden, 42.426786, -83.14969
Fleur, 42.343787, -83.05879
Lena's Garden, 42.427636, -83.19547
Boykin Garden Oasis, 42.426786, -83.14969
DaLyGrow, 42.331427, -83.0457538
Spiritual Truth, 42.425236, -83.24902
Shadow's Garden, 42.375237, -83.07837
Puffin's Place, 42.394586, -83.24422
marv's mARVEL, 42.396736, -83.14152
brooks garden of light, 42.394586, -83.24422
Miracle Hands, 42.421936, -83.09981
Granny Jewels' love, 42.427636, -83.19547
beyond baskets, 42.352837, -83.02449
Hardy Bunch, 42.426786, -83.14969
Mz.Haze Heavenly Harvest, 42.426786, -83.14969
Minkyluv Food of love, 42.388786, -83.1918
Jay & Josh's Love Garden, 42.331427, -83.0457538
Timothy's Garden, 42.331427, -83.0457538
Bobby's Garden, 42.375787, -83.10849
Cooper, 42.348937, -83.08994
Prince Hall Place Community Garden, 42.352837, -83.02449
Williams Garden, 42.425236, -83.24902
Fresh Veg, 42.375787, -83.10849
Hurt, 42.536402, -82.95044
Frederick Douglass Academy Garden, 42.348937, -83.08994
ella, 42.338137, -83.12785
erin's place, 42.426786, -83.14969
BEULAH'S GARDEN, 42.426786, -83.14969
ROSS-WELL GARDEN, 42.425236, -83.24902
Gee's, 42.394586, -83.24422
Fambro's Garden of Eden, 42.410487, -82.94348
Garden of Eden, 42.410487, -82.94348
Dessasure family, 42.277738, -83.1552
Green Space, 42.427636, -83.19547
greenery, 42.395904, -82.99632
Harris-Burton, 42.425236, -83.24902
chris's corner, 42.425236, -83.24902
Janice, 42.375237, -83.07837
urban garden, 42.410487, -82.94348
The Garden of Eve, 42.368137, -82.99314
urban garden, 42.410487, -82.94348
urban garden, 42.410487, -82.94348
sunshine, 42.375787, -83.10849
Miranda J. Allen memorial garden, 42.425236, -83.24902
Brooks-Pasha, 42.425236, -83.24902
T Fresh Vegatable, 42.433703, -82.98068
Tonys Garden, 42.426786, -83.14969
Ruby Vege, 42.375787, -83.10849
Honey's Garden, 42.499335, -83.22829
Dorsey garden, 42.365337, -83.14254
Lee's Garden, 42.396736, -83.14152
Lainey's Grub, 42.375787, -83.10849
Vivian's Garden, 42.426786, -83.14969
Life Patch, 42.427636, -83.19547
